Position ID,Action,Amount,Units,Open Rate,Close Rate,Spread,Profit,Open Date,Close Date,Take Profit Rate,Stop Loss Rate,Rollover Fees And Dividends,Is Real,Leverage,Notes
783253346,Buy Allstate Corp,30.17,0.333039,90.59,107.98,0.00,5.79,05/11/2020 19:39,30/12/2020 14:39,0.00,0.01,0.13,Real,,
777590828,Buy Alibaba,22.28,0.071917,309.80,241.78,0.00,-4.89,02/11/2020 15:29,30/12/2020 14:32,0.00,0.00,0.00,Real,,
850994205,Buy Apple,11.93,0.088135,135.36,135.95,0.00,0.05,28/12/2020 14:59,29/12/2020 17:40,1488.41,0.01,0.00,Real,,
833788784,Buy Check Point Software Technologies,2.98,0.024226,123.01,136.11,0.00,0.32,15/12/2020 18:53,29/12/2020 17:24,0.00,0.01,0.00,Real,,
815712994,Buy New Oriental Education & Techn ADR,4.10,0.024848,165.00,169.23,0.00,0.11,01/12/2020 14:59,29/12/2020 15:41,0.00,0.01,0.00,Real,,
769455687,Buy WESCO International Inc,11.09,0.252562,43.91,76.61,0.00,8.26,26/10/2020 14:14,29/12/2020 15:23,0.00,0.01,0.00,Real,,
851819323,Buy Bitcoin,17.89,0.000657,27228.34,26622.73,0.13,-0.40,28/12/2020 17:47,28/12/2020 21:57,299510.06,0.01,0.00,Real,,
808491407,"Buy Tilray, Inc.",4.10,0.542328,7.56,8.45,0.00,0.48,25/11/2020 18:51,28/12/2020 19:12,0.00,0.01,0.00,Real,,
807630206,"Buy Tilray, Inc.",8.20,1.076115,7.62,8.45,0.00,0.89,25/11/2020 14:35,28/12/2020 19:12,0.00,0.01,0.00,Real,,
835738211,Buy Aurora Cannabis Inc,2.98,0.301925,9.87,8.71,0.00,-0.35,16/12/2020 20:55,28/12/2020 19:09,0.00,0.01,0.00,Real,,
808492066,Buy Aurora Cannabis Inc,4.10,0.462232,8.87,8.71,0.00,-0.07,25/11/2020 18:52,28/12/2020 19:09,0.00,0.00,0.00,Real,,
800538765,Buy Aurora Cannabis Inc,4.09,0.587644,6.96,8.71,0.00,1.03,19/11/2020 17:54,28/12/2020 19:09,0.00,0.00,0.00,Real,,
805786165,Buy Aurora Cannabis Inc,4.10,0.438034,9.36,8.71,0.00,-0.28,24/11/2020 14:34,28/12/2020 19:09,0.00,0.00,0.00,Real,,
818429399,Buy Salesforce.com Inc,4.10,0.018547,221.06,223.64,0.00,0.05,02/12/2020 18:38,28/12/2020 15:45,0.00,0.01,0.00,Real,,
835300414,Buy JD.com,2.98,0.036863,80.84,81.34,0.00,0.02,16/12/2020 16:07,28/12/2020 15:35,0.00,0.01,0.00,Real,,
845072378,Buy SolarEdge Technologies,2.98,0.008950,332.95,317.42,0.00,-0.14,22/12/2020 15:12,28/12/2020 15:35,0.00,0.01,0.00,Real,,
835288972,Buy Splunk Inc,5.97,0.036895,161.81,175.00,0.00,0.49,16/12/2020 16:03,28/12/2020 15:34,0.00,0.01,0.00,Real,,
845068376,Buy Enphase Energy Inc.,2.98,0.016375,181.99,178.18,0.00,-0.06,22/12/2020 15:11,28/12/2020 15:31,2001.89,0.01,0.00,Real,,
847509535,Buy Palantir,4.77,0.164539,28.99,26.17,0.00,-0.46,23/12/2020 18:06,28/12/2020 15:27,0.00,0.01,0.00,Real,,
849100494,Buy Litecoin,2.98,0.023133,128.82,134.91,0.06,0.14,25/12/2020 23:46,27/12/2020 14:17,144.50,0.01,0.00,Real,,
849015467,Buy Bitcoin,23.86,0.000993,24028.50,27466.09,0.20,3.41,25/12/2020 11:05,27/12/2020 13:58,28200.00,0.01,0.00,Real,,
830221501,Buy Qutoutiao Inc.,2.97,1.116541,2.66,1.76,0.00,-1.00,11/12/2020 16:24,23/12/2020 16:14,0.00,0.00,0.00,Real,,
